,datetime,shape,duration (seconds),comments,latitude,longitude ,date,time
76815,9/22/1995 03:00,disk,300.0,air craft 12&#44000 feet long at about 10&#44000 ft. Made up of two sqs. linked at edge one lite with ports and lights lead half dark in nigh,32.8338889,-109.7069444,1995,03:00
65612,8/13/1995 18:30,triangle,300.0,Large hovering invisible craft houvering in mid air at least triangle 300 yards.,36.175,-115.1363889,1995,18:30
69451,8/25/1995 00:40,circle,5.0,Copied written report:  Physicist/astronomer sees huge&#44 pulsing fireball to west of New York City.,41.6555556,-74.6897222,1995,00:40
7645,11/10/1995 20:00,disk,180,craft sighted hovering over trees in rural minnesota,47.6591667,-92.1977778,1995,20:00
48024,6/12/1995 23:00,circle,300,Bright light flashes and shrinks before zipping off.,43.6588889,-123.3175,1995,23:00
27462,2/20/1995 19:00,triangle,1800,Craft hovered at treeline above our private road.Then circled in a LARGE oval pattern about 8 times.Came within a rocks throw of our 2n,40.5866667,-122.3905556,1995,19:00
50953,6/22/1995 15:00,triangle,180,TRIANGLE UFO SIGHTING IN AMARILLO TX,35.2219444,-101.8308333,1995,15:00
51408,6/24/1995 00:30,triangle,37800,Me&#44 and six of my friends watched these lights in triangular shape hover in the air&#44 and didn&#39t break formation and then move westward.,34.0522222,-118.2427778,1995,00:30
41593,5/1/1995 21:30,triangle,120,came out of nowhere&#44 disappeared into the sky,42.0833333,-71.0188889,1995,21:30
20159,12/24/1995 23:30,triangle,120,4 adults see 2 conventional mil. aircraft &quot;pursuing&quot; a 3rd &quot;triangular craft w/ tiny red lights.&quot; 4th a/c approaches at high speed.,37.1297222,-80.4091667,1995,23:30
48195,6/13/1995 11:00,disk,120,It was about 6 feet in cicumference and dissapeared in thin air without a trace&#33,40.7858333,-74.7805556,1995,11:00
8639,11/12/1995 23:20,triangle,600,At 11:20 PM as I saw a triange shaped object with 7 red lights moving slowly to the south.,41.1616667,-112.0255556,1995,23:20
47591,6/1/1995 12:00,circle,30,Huge stationary disk,34.0522222,-118.2427778,1995,12:00
66415,8/15/1995 21:00,disk,60.0,Very large disk shape&#44 many portholes&#44 silver in color&#44 nestled between two hills,48.2766667,-116.5522222,1995,21:00
50318,6/20/1995 23:00,circle,300,Orange glowing circle in the sky,44.1986111,-88.6647222,1995,23:00
42006,5/13/1995 19:30,triangle,120,MY father and I were looking at the stars and we saw a triangle UFO with 3 white lights on each corner and 1 red light in the middle...,47.6063889,-122.3308333,1995,19:30
50047,6/19/1995 22:00,triangle,420,A triangular craft with a light at each end and a slightly larger central light,37.3938889,-97.2808333,1995,22:00
43308,5/20/1995 13:30,triangle,600,Black&#44 triangular object sighted during middle of day in large metro area.,39.0997222,-94.5783333,1995,13:30
44086,5/24/1995 03:00,circle,5,red light moving in a circular motion,35.2827778,-120.6586111,1995,03:00
44377,5/26/1995 01:00,triangle,900,Triangle shaped UFO over Rochester Hills&#44 MI in the summer over &#3995,42.6583333,-83.15,1995,01:00
25510,2/10/1995 20:00,circle,1200,Saw 3 large cloud like hollow circles in the very clear night sky.,33.9400000,-118.1316667,1995,20:00
22484,1/25/1995 22:40,triangle,300,saw object out of second floor window.,39.9522222,-75.1641667,1995,22:40
66895,8/16/1995 21:30,triangle,300.0,A slow moving craft in triangular shape at about 100 to 200 feet altitude. A series of 3 lights in a trianbular shape under the craft.,41.7605556,-88.32,1995,21:30
66894,8/16/1995 20:00,disk,300.0,6 witness saucer gliding over building at close range,41.2586111,-95.9375,1995,20:00
44378,5/26/1995 18:00,triangle,600,Large triangler ufo spotted in Michigan.,42.6583333,-83.15,1995,18:00
24657,1/5/1995 20:10,disk,40,ship flew almost over my head and it was comming in for a landing. I was shook up and would&#44nt go after it and this is why. est 250ft l,47.2033333,-122.2391667,1995,20:10
72772,9/10/1995 09:30,triangle,600.0,The football field sized object was triangular and had a gondola - shaped structure underneath.,36.8347222,-81.515,1995,09:30
24659,1/5/1995 21:05,disk,8,Saucer comming in for landing at tree top and I was allmost under it. aprox 250X35 the ship had two doors that was black in color the r,47.2033333,-122.2391667,1995,21:05
50315,6/20/1995 09:30,circle,300,I saw a craft in the sky that moved unlike all planes we see today&#33,33.2469444,-95.8997222,1995,09:30
5666,10/31/1995 22:00,circle,300,I think I was purposely visited becuase of events in my life . My arabic grandmother had just passed.,33.7869444,-84.435,1995,22:00
8156,11/1/1995 04:00,triangle,1800,Black triangle-shaped craft hovered at low altitude next to freeway for at least 30 minutes on Halloween night 1995.,33.8302778,-116.5444444,1995,04:00
77514,9/25/1995 22:30,triangle,120.0,Cloudless night&#44 clear: craft silent&#44 six round&#44 pale orange lights on underside of craft; travelled south to north&#44 not fast.I saw it,47.6063889,-122.3308333,1995,22:30
77511,9/25/1995 00:00,triangle,120.0,well i was over a friends house i was 15 years old. i have a telescope and we were looking at the moon it was a clear night and fule mo,28.8997222,-82.3747222,1995,00:00
77333,9/24/1995 20:00,disk,600.0,green glowing disk with lizard like creatures.,28.2916667,-81.4077778,1995,20:00
47618,6/1/1995 23:30,triangle,1800,I was inside my home recovering from surgery. My wife was at home with me. At app.11:30pm mydaughter returned from amovie with 2 frieds,36.0958333,-79.2672222,1995,23:30
61620,7/4/1996 22:00,triangle,60,My wife and I were stargazing on a beautiful clear night when we spotted a red triangle flying,34.2255556,-77.945,1996,22:00
46502,6/10/1996 01:00,triangle,240,Triangular shaped UFO with blue lights hovering above field off of Route 46 in Eddington&#44 Maine.,44.8261111,-68.6938889,1996,01:00
5432,10/30/1996 07:30,disk,240,Saw a disc shaped object from a distance to close.,40.4405556,-79.9961111,1996,07:30
79677,9/7/1996 10:50,triangle,1200.0,Triangular object with orange lights circled group of 4 teens &#44hummed and buzzed before exiting town to S. 4 teens joined by 2 adults w,38.6880556,-83.6094444,1996,10:50
8850,11/13/1996 23:30,triangle,300,I out of my front door to let the dog out. I remember I stared at this bright star that was pulsating. Then I had a feeling that I was,27.8394444,-82.7913889,1996,23:30
8849,11/13/1996 19:45,triangle,360,Huge Black Triangular Craft hovers over the 15 Freeway in High Desert&#44CA. 1996,34.4263889,-117.3,1996,19:45
37867,4/20/1996 15:00,triangle,300,Five of us were on the top of a building downtown near dusk flying a kite.  I looked up and saw the triangular shape above us with roun,43.8013889,-91.2394444,1996,15:00
37865,4/20/1996 00:00,triangle,50,Triangular shaped object seen over Socorro New Mexico,34.0583333,-106.8908333,1996,00:00
1494,10/14/1996 03:00,circle,1800,My sister and I  both had a dream that a ufo was coming to Gainesville. They showed us around the ship&#44and the greys told us that they,29.6513889,-82.325,1996,03:00
32475,3/20/1996 19:00,disk,240,Small disk flyes over school in Apalachin&#44 NY,42.0694444,-76.155,1996,19:00
64,10/10/1996 03:20,triangle,3,illuminated triangular craft&#44 flying at high speed from South to North,39.0725000,-93.7169444,1996,03:20
41603,5/1/1996 23:00,disk,240,Saucer object observed close enough to throw stones at in 1996.,32.0508333,-84.7991667,1996,23:00
49852,6/18/1996 08:26,circle,70,A brilliant white perfect circle changes to a circle within a circle and then becomes a distant dot in the sky.,32.7152778,-117.1563889,1996,08:26
41838,5/12/1996 21:00,disk,10800,Close encounter in Texas&#44 missing time.,33.4213889,-96.5769444,1996,21:00
1926,10/15/1996 23:00,triangle,3600,I saw a triangular craft with only red light from front to back on it. Craft stopped over my back yard and shone light down.,37.2708333,-79.9416667,1996,23:00
